stage_name,full_name,date_of_birth,group,country,birthplace,gender,instagram
Hyunseung,Jang Hyunseung,1989-09-03,,South Korea,Suncheon,M,
Hyunseung,Kim Hyunseung,2002-10-15,YOUNITE,South Korea,,M,
Keeho,Yoon Kiho,2001-09-27,P1Harmony,Canada,,M,
Louis,Kim Taewoo,1999-04-23,BLANK2Y,South Korea,,M,
Louis,Yang Dongsik,2001-04-08,Kingdom,South Korea,,M,
Dayoung,Im Dayoung,1999-05-14,Cosmic Girls,South Korea,Jeju,F,
Dayoung,Kim Dayoung,1991-02-02,Blady,South Korea,Jeonju,F,loloola22_
Teo,Jang Sungsik,1997-10-22,DKB,South Korea,,M,
SongSun,Kim Songsun,1997-03-22,TRI.BE,South Korea,,F,
Hyebin,Im Hyebin,1999-11-10,Highteen,South Korea,,F,
Hyebin,Kim Hyebin,1997-03-29,AREAL,South Korea,,F,
Hyebin,Lee Hyebin,1996-01-12,MOMOLAND,South Korea,Andong,F,
Ren,Choi Minki,1995-11-03,NU'EST,South Korea,Busan,M,
Yeori,Choi Yeori,1999-09-08,ARIAZ,South Korea,,F,
Yeori,Kim Soyeon,1994-05-30,Gate9,South Korea,Seoul,F,yeori_g9
Junheok,Cheon Junheok,2004-09-20,TNX,South Korea,Hwaseong,M,
Zico,Woo Jiho,1992-09-14,Block B,South Korea,Seoul,M,
Eunjo,Park Eunjo,2002-03-07,Dreamnote,South Korea,,F,
Sunghoon,Park Sunghoon,2002-12-08,ENHYPEN,South Korea,,M,
Hyunseong,Shim Hyunseong,1993-06-09,Boyfriend,South Korea,Yeongcheon,M,
Ivan,Park Yooseong,2001-10-12,Kingdom,South Korea,,M,
Dabi,Park Jiwon,2000-01-19,AREAL,South Korea,,F,
Haein,Yeom Haein,1995-05-19,LABOUM,South Korea,Ojeonggu,F,
Yooyeon,Kim Yooyeon,2001-02-09,tripleS,South Korea,Seoul,F,
Baekho,Kang Dongho,1995-07-21,NU'EST,South Korea,Jeju,M,
Yubin,Bae Yubin,1997-09-09,Oh My Girl,South Korea,Chuncheon,F,
Yubin,Cho Yubin,1999-10-09,,South Korea,,F,
Yubin,Jang Yubin,2004-06-10,Mirae,South Korea,,M,
Yubin,Kim Yubin,2002-02-27,Wonder Girls,South Korea,,F,
Jungkook,Jeon Jungkook,1997-09-01,BTS,South Korea,Busan,M,
Sunshine,Kim Minjung,2002-06-20,NATURE,South Korea,,F,
Haseul,Jo Haseul,1997-08-18,LOONA,South Korea,Ansan,F,
Yugyeom,Kim Yugyeom,1997-11-17,GOT7,South Korea,Namyangju,M,
Hyunuk,Han Hyunuk,1994-09-26,IN2IT,South Korea,,M,
Hoyoung,Bae Hoyoung,1998-08-10,Verivery,South Korea,,M,
Minji,Kim Minji,2004-05-07,NewJeans,South Korea,,F,
Yunho,Jeong Yunho,1999-03-23,ATEEZ,South Korea,Gwangju,M,
Chanyoung,Kim Chanyoung,2000-11-20,D-CRUNCH,South Korea,,M,
Wonho,Shin Hoseok,1993-03-01,,South Korea,Anyang,M,
Taeheon,Kim Taeheon,1989-06-18,ZE:A,South Korea,Gwangju,M,
Dawon,Cho Dawon,2000-05-12,VARSITY,South Korea,,M,
Dawon,Lee Dawon,1996-12-02,ARIAZ,South Korea,,F,
Dawon,Lee Sanghyuk,1995-07-24,SF9,South Korea,,M,
Dawon,Nam Dawon,1997-03-16,Cosmic Girls,South Korea,Seoul,F,
Jungwoo,Kim Jungwoo,1998-02-19,NCT,South Korea,,M,
Jungwoo,Uhm Jungwoo,1999-04-02,BVNDIT,South Korea,,F,
Min,Lee Mincheon,1997-10-16,We In The Zone,South Korea,Seoul,M,
Min,Lee Minyoung,1991-06-21,miss A,South Korea,Seoul,F,therealminnn
Munik,Jang Moonik,2001-03-20,Dongkiz,South Korea,,M,
Wondae,Seol Wondae,1998-04-28,Dongkiz,South Korea,,M,
Yeoun,Lee Kyeongbin,1997-09-03,ARGON,South Korea,,M,
Intak,Hwang Intak,2003-08-31,P1Harmony,South Korea,,M,
Eun,Choi Eunmi,1990-05-14,Two X,South Korea,,F,
Giru,Park Giru,1991-08-14,Blady,South Korea,Incheon,F,giru_p
Yuri,Jo Yuri,2001-10-22,IZ*ONE,South Korea,Busan,F,
Yuri,Kwon Yuri,1989-12-05,SNSD,South Korea,Goyang,F,yulyulk
Gayoung,Kim Gayoung,1991-12-02,Stellar,South Korea,Seoul,F,
Sakura,Miyawaki Sakura,1998-03-19,LE SSERAFIM,Japan,Kagoshima,F,
Daehwi,Lee Daehwi,2001-01-29,AB6IX,South Korea,Seoul,M,
Gayoon,Heo Gayoon,1990-05-18,4minute,South Korea,Seoul,F,gayoon_heo
JOO,Jung Minjoo,1990-10-11,,South Korea,Seoul,F,
Wenhan,Li Wenhan,1994-07-22,UNIQ,China,,M,
Sunn,Hwang Jiwon,2000-02-07,,South Korea,Jincheon,F,
Yesung,Kim Jongwoon,1984-08-24,Super Junior,South Korea,Seoul,M,
Chaeyoung,Lee Chaeyoung,2000-05-14,fromis_9,South Korea,Pohang,F,
Chaeyoung,Son Chaeyoung,1999-04-23,Twice,South Korea,Seoul,F,
Yeonwoo,Lee Dabin,1996-08-01,,South Korea,Seoul,F,
Seungyeon,Han Seungyeon,1988-07-24,KARA,South Korea,Seoul,F,
Seungyeon,Jang Seunyeon,1996-11-06,CLC,South Korea,Seongnam,F,
Lew,Lee Euiwoong,2001-04-05,TEMPEST,South Korea,,M,
Minseo,Kim Minseo,2004-08-12,woo!ah!,South Korea,,M,
Minseo,Park Minseo,2003-03-21,Saturday,South Korea,,F,
Jonghyun†,Kim Jonghyun,1990-04-08,,South Korea,Seoul,M,
Irene,Bae Juhyun,1991-03-29,Red Velvet,South Korea,Daegu,F,
Shotaro,Osaki Shotaro,2000-11-25,NCT,Japan,,M,
Terry,Han Dasom,1998-02-02,,South Korea,,F,
Bit,No Minjae,2004-07-21,BAE173,South Korea,,M,
Jisoo,Jung Jisoo,2003-11-22,Busters,South Korea,,F,
